"Reference","Value","Part Number","Datasheet","Footprint","Qty","DNP"
"C1","0.22uF","FA14X7R1H224KNU00","http://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA14X7R1H224KNU00","1",""
"C2,C6,C7","0.1uF","FA18X7R1H104KNU00","http://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","3",""
"D20,D21","1N4001","1n4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"J1","Conn_01x03_Pin","B3B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1",""
"J2,J3","Conn_01x06","B6B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","2",""
"J4","Conn_01x03","B3B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1",""
"J5","IMD_RST","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J6","AMS_RST","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J8","Conn_BSPD","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J9","Conn_BTN_Cockpit","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J10","Conn_BTN_Left","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J11","Conn_BTN_Right","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J12","Conn_BOTS_1","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J13","Conn_BOTS_2","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J14","Conn_Inertia","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J15","Conn_HVD_INTL","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J16","Conn_ACC_INTL","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J17","Conn_TSMS","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J18","Conn_discharge","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J19","Conn_precharge","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J20","Conn_Power","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J21","Conn_AIR 1","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J22","Conn_AIR 2","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J23","Conn_TSAL_OK","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J24","IMD_LED","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J27","AMS_LED","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"K6,K7","G5Q1A4DC12","G5Q1A4DC12","https://www.omron.com/ecb/products/pdf/en-g5q.pdf","Relay_THT:Relay_SPST_Omron-G5Q-1A","2",""
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14","LTL-1CHG","LTL-1CHG","https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTL-1CHG.pdf","LTL1CHG:LTL1CHG","14",""
"Q1,Q2,Q3,Q4","2N7000","2N7000","https://www.onsemi.com/download/data-sheet/pdf/nds7002a-d.pdf","Package_TO_SOT_THT:TO-92_Inline","4",""
"R1,R2,R3,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R53","27k","MCF 0.25W 27K","http://www.farnell.com/datasheets/3436052.pdf?_gl=1*1jbac1h*_gcl_au*MTYzNTY3NzA0MC4xNzM4NjE3ODkw","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","14",""
"R4,R5,R6,R7,R8,R9,R10,R11,R13,R15,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R42,R43,R44,R45,R46,R47,R48,R49,R50,R52,R54,R55,R57,R59,R60","10k","MCF 0.25W 10K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk.","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","36",""
"R12,R14,R26,R27,R56,R58","100","MCF 0.25W 100","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk.","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","6",""
"U1","LM7805MPX/NOPB","LM7805MPX/NOPB","https://www.ti.com/lit/gpn/lm7800","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
