"Reference","Value","Part Number","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C5,C6,C7,C8,C9,C12","0.1uF","FA18X7R1H104KNU00","https://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","9",""
"C4","0.22uF","FA14X7R1H224KNU00","https://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA14X7R1H224KNU00","1",""
"C10,C11","10uF","ECE-A1EKA100I","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"D9","1N4001","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"J1","Conn_01x03","B3B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1",""
"J2,J3","Conn_01x02","B2B-XH-A ","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","2",""
"K1","G5Q-1A4-DC12","G5Q-1A4-DC12","https://www.mouser.ie/datasheet/2/307/J155_E1-3439950.pdf","Relay_THT:Relay_SPST_Omron-G5Q-1A","1",""
"LED1,LED2,LED3,LED4,LED5","LTL-1CHG","LTL-1CHG","https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTL-1CHG.pdf","LTL1CHG:LTL1CHG","5",""
"Q1,Q2","2N7000","2N7000","https://www.onsemi.com/download/data-sheet/pdf/nds7002a-d.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"R1,R2,R3,R7,R9,R11","100k","MCF 0.25W 100K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*10s1yq3*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk.","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","6",""
"R4,R5,R6,R19","1k","MCF 0.25W 1K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1pxxutc*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R8,R10,R12,R13,R14,R15,R16,R17,R18,R22,R25,R26,R27,R28,R29","10k","MCF 0.25W 10K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","15",""
"R20","56k","MCF 0.25W 56K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*6igt67*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk.","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R21","1M","MCF 0.25W 1M","http://www.farnell.com/datasheets/3436052.pdf?_gl=1*c0yucm*_gcl_au*MzQwNzkxNTUuMTczODE3NzUyNw","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R23","15k","MCF 0.25W 15K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*2i638p*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R24","39k","MCF 0.25W 39K","http://www.farnell.com/datasheets/3436052.pdf?_gl=1*shqhxd*_gcl_au*MzQwNzkxNTUuMTczODE3NzUyNw","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RV1,RV2,RV3","10k potentiometer","3296W-1-103LF","https://www.mouser.ie/datasheet/2/54/3296-776415.pdf","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","3",""
"TP1,TP2,TP3,TP4,TP5,TP6","TestPoint","36-5006-ND","https://www.keyelco.com/userAssets/file/M65p56.pdf","TestPoint:TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded","6",""
"U1,U2,U3","LM741CN/NOPB","LM741CN/NOPB","https://www.ti.com/lit/gpn/lm741","Package_DIP:DIP-8_W7.62mm","3",""
"U4","LM7805MPX/NOPB","LM7805MPX/NOPB","https://www.ti.com/lit/gpn/lm7800","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U5,U19","LM339N","LM339N","https://www.ti.com/lit/gpn/lm339","LM339N:DIP794W53P254L1930H508Q14N","2",""
"U6","SN74AHC1G02DBVR","SN74AHC1G02DBVR","https://www.ti.com/lit/ds/symlink/sn74ahc1g02.pdf?ts=1738520903275","Package_TO_SOT_SMD:SOT-23-5","1",""
"U9","SN74LVC1G04DBVT","SN74LVC1G04DBVT","https://www.ti.com/lit/gpn/sn74lvc1g04","Package_TO_SOT_SMD:SOT-23-5","1",""
"U18","SN74AHCT1G08DBVR","SN74AHCT1G08DBVR","https://www.ti.com/lit/gpn/sn74ahct1g08","Package_TO_SOT_SMD:SOT-23-5","1",""
