"Reference","Value","Part Number","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C5,C7,C8,C9,C11,C13,C14,C16,C18,C19,C20,C21,C22,C23,C24,C26,C28,C30,C32,C34,C36,C37,C39,C43,C45,C47,C48,C50,C52,C54,C56,C58,C60,C62,C64,C66","0.1uF","GCE21BR71H104KA01L","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCE21BR71H104KA01-01B.pdf","Capacitor_SMD:C_0805_2012Metric","39",""
"C4,C6,C10,C12,C15,C17,C25,C27,C29,C31,C33,C35,C41,C42,C44,C46,C49,C51,C55,C57,C59,C61,C63,C65","1uF","GJ821BR71H105KA12K","https://www.mouser.ie/datasheet/2/281/GJ821BR71H105KA12-01-1633769.pdf","Capacitor_SMD:C_0805_2012Metric","24",""
"C38,C40","47uF"," MAL218297003E3","https://4donline.ihs.com/images/VipMasterIC/IC/VISH/VISH-S-A0011831071/VISH-S-A0011831094-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6","Capacitor_SMD:CP_Elec_6.3 x 6.3 x 5.8","2",""
"C53","0.22uF","GRM21BR71H224KA01K","https://www.mouser.ie/datasheet/2/281/1/GRM21BR71H224KA01_01A-1986929.pdf","Capacitor_SMD:C_0805_2012Metric","1",""
"J1,J2,J3,J4,J6,J7,J8,J9,J10,J11,J12,J13,J14","Conn_01x02_Pin","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","13",""
"J5,J15","Conn_01x06_Pin","B6B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","2",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12","100","RT0805FRE13100RL","https://www.mouser.ie/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf","Resistor_SMD:R_0805_2012Metric","12",""
"U1,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13","Isolation Amplifier with >2.5V input","ADUM4195-1BRIZ","https://www.mouser.ie/datasheet/2/609/adum4195_1-3103625.pdf","Package_SO:SOIC-8_7.5x5.85mm_P1.27mm","12",""
"U14","TEC2-1211","TEC2-1211","https://www.tracopower.com/sites/default/files/products/datasheets/tec2_datasheet.pdf?t=1736298001","TEC_2:TEC21211","1",""
"U15","LM7805MPX/NOPB","LM7805MPX/NOPB","https://www.ti.com/lit/gpn/lm7800","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
