"Reference","Value","Part Number","Datasheet","Footprint","Qty","DNP"
"J1,J2,J4,J5,J6,J9","Conn_01x02_Pin","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","6",""
"J3,J7,J8","Conn_01x04_Pin","B4B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","3",""
"D1","1N4001","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"C1","0.22u","FA14X7R1H224KNU00","http://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA14X7R1H224KNU00","1",""
"C2,C3,C4,C5,C6","0.1u","FA18X7R1H104KNU00","http://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","5",""
"U2","SN74LS21DR","SN74LS21DR","http://www.ti.com/lit/gpn/sn74LS21","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1",""
"U3","MC74HC74ADG","MC74HC74ADG","https://www.onsemi.com/download/data-sheet/pdf/mc74hc74a-d.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1",""
"U5","LM7805MPX/NOPB","LM7805MPX/NOPB","https://www.ti.com/lit/gpn/lm7800","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U1","SN74AHC1G04DBVRE4","SN74AHC1G04DBVRE4","https://www.ti.com/lit/gpn/sn74ahc1g04","Package_TO_SOT_SMD:SOT-23-5","1",""
"U6","SN74AHC1G02DBVR","SN74AHC1G02DBVR","https://www.ti.com/lit/ds/symlink/sn74ahc1g02.pdf?ts=1738520903275","Package_TO_SOT_SMD:SOT-23-5","1",""
"Q1,Q2,Q3","2N7000","2N7000","https://www.onsemi.com/download/data-sheet/pdf/nds7002a-d.pdf","Package_TO_SOT_THT:TO-92_Inline","3",""
"K1","G5Q1A4DC12","G5Q1A4DC12","https://www.omron.com/ecb/products/pdf/en-g5q.pdf","Relay_THT:Relay_SPST_Omron-G5Q-1A","1",""
"R1,R2,R3,R4,R6,R11,R13,R15,R16","10k","MCF 0.25W 10K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","9",""
"R5,R9,R10","100","MCF 0.25W 100R","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"R7","6.8k","MCF 0.25W 6.8K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R8","4.7k","MCF 0.25W 4K7","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1jvprho*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk.","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R12,R14","200","MCF 0.25W 4K7","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1jvprho*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk.","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
