"Reference","Value","Part Number","Datasheet","Footprint","Qty","DNP"
"U2","HCPL-817-000E","HCPL-817-000E","https://www.mouser.ie/datasheet/2/678/AV02_0265EN_2021_04_26-2935641.pdf","Package_DIP:DIP-4_W7.62mm","1",""
"R4","3.3k","MCF 0.25W 3K3","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1jvprho*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3","8.2k","MCF 0.25W 8K2","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2,R5","1k","MCF 0.25W 1K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"Q1","2N7000","2N7000","https://www.onsemi.com/download/data-sheet/pdf/nds7002a-d.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"K1","DBR71210","DBR71210","https://www.mouser.ie/datasheet/2/657/cynergy3_d_pcb_v2-1892244.pdf","DBR71210:DBR71210","1",""
"J4","Conn_01x03","B3B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1",""
"J1,J2,J3","Conn_01x02","1729128","https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mkdsn-15-2-508-1729128?type=pdf","Phoenix 1x2 Connector:Phoenix_1x2_1729128","3",""
"IC1","AL5890-10D-13","AL5890-10D-13","https://www.diodes.com/assets/Datasheets/AL5890.pdf","AL5890_10_D13:AL589010D13","1",""
"D1","1N4001","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
