"Reference","Value","Part Number","Datasheet","Footprint","Qty","DNP"
"C9,C24","10nF","FA18X7R2A103KNU00","http://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","2",""
"C2,C3,C4,C5,C6,C7,C8,C12,C13,C14,C16,C17,C22,C25,C26","0.1uF","FA18X7R1H104KNU00","http://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","15",""
"C1,C11,C28","1uF","FA18X7R1E105KRU00","http://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","3",""
"C23","22uF","RDEC71E226K3P1H03B","https://www.mouser.ie/datasheet/2/281/RDE_X7R_X7S_25V_100V_E-1671041.pdf","Capacitor_THT:C_Disc_D5.5mm_W4mm_P2.50mm_1","1",""
"L1","33uH","PM4342.333NLT ","https://www.mouser.ie/datasheet/2/447/plei_s_a0011300680_1-2903835.pdf","Inductor_SMD:L_10.4x10.4_H4.8","1",""
"C15","220uF","REF0611221M016K","https://www.mouser.ie/datasheet/2/40/ref_series-3196366.pdf","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C18","680uF","50ZLJ680M12.5X25","http://www.farnell.com/datasheets/2321359.pdf","50ZLJ680M12.5X25:CAPPRD500W60D1275H2700","1",""
"R7,R25,R36,R43,R44","100","MCF 0.25W 100R","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R40","1k","MCF 0.25W 1K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1pxxutc*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R4,R6,R51","4.7k","MCF 0.25W 4K7","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"R8,R23,R26,R39,R46","10k","MCF 0.25W 10K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R3","15k","MCF 0.25W 15K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R5","20k","MF25 20K","http://www.farnell.com/datasheets/2860633.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2,R10,R11,R13,R14","27k","MCF 0.25W 27K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R1","47k","MCF 0.25W 47K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R9,R12,R41,R42","68k","MCF 0.25W 68K","http://www.farnell.com/datasheets/3436052.pdf?_gl=1*shqhxd*_gcl_au*MzQwNzkxNTUuMTczODE3NzUyNw","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R27","100k","MCF 0.25W 100K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1jvprho*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R24","220k","MCF 0.25W 220K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"D1","1N4001","1N4001","https://www.vishay.com/docs/88504/1n4001gp.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D3","1N5821","1N5821","http://www.vishay.com/docs/88526/1n5820.pdf","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","1",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7","2N7000","2N7000","https://www.onsemi.com/download/data-sheet/pdf/nds7002a-d.pdf","Package_TO_SOT_THT:TO-92_Inline","7",""
"R15,R16,R17,R18,R19,R20,R21,R22,R29,R30,R31,R32","5k6","MCF 0.25W 5K6","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1jvprho*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","12",""
"R50","6k8","MCF 0.25W 6K8","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"J3,J6,J7,J8","B2B-XH-A","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","4",""
"J2","B3B-XH-A","B3B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1",""
"J1,J4,J5","B4B-XH-A","B4B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","3",""
"IC1,IC4,IC5","CD4072BE","CD4072BE","https://www.ti.com/lit/ds/symlink/cd4072b.pdf?ts=1740318563746&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FCD4072B","LM339N:DIP794W53P254L1930H508Q14N","3",""
"K2","G5Q1A4DC12","G5Q1A4DC12","https://www.omron.com/ecb/products/pdf/en-g5q.pdf","Relay_THT:Relay_SPST_Omron-G5Q-1A","1",""
"K1","G5RL-K1-E-DC5","G5RL-K1-E-DC5","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5rl_uk.pdf","Relay_THT:Relay-G5RL-K1-E","1",""
"U3,U4,U5","LM339N/NOPB","LM339N/NOPB","https://www.ti.com/lit/gpn/lm339-n","LM339N:DIP794W53P254L1930H508Q14N","3",""
"U26","LM2596SX-5.0/NOPB","LM2596SX-5.0/NOPB","http://www.ti.com/lit/ds/symlink/lm2596.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
"U2,U6","LMC555CMX/NOPB","LMC555CMX/NOPB","https://www.ti.com/lit/gpn/lmc555","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2",""
"U9","SN74AHC1G04DBVRE4","SN74AHC1G04DBVRE4","https://www.ti.com/lit/gpn/sn74ahc1g04","Package_TO_SOT_SMD:SOT-23-5","1",""
"U1,U7","SN74AHC1G32TDBVRQ1","SN74AHC1G32TDBVRQ1","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","Package_TO_SOT_SMD:SOT-23-5","2",""
"U8,U14","SN74AHCT1G08DBVR","SN74AHCT1G08DBVR","https://www.ti.com/lit/gpn/sn74ahct1g08","Package_TO_SOT_SMD:SOT-23-5","2",""
"IC3","SN74HC86N","SN74HC86N","https://www.ti.com/lit/gpn/sn74hc86","LM339N:DIP794W53P254L1930H508Q14N","1",""
