"Reference","Value","Part Number","Datasheet","Footprint","Qty","DNP"
"C1,C4","1uF","FA18X7R1E105KRU00","http://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","2",""
"C2,C6,C10,C14","0.1uF","FA18X7R1H104KNU00","https://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","4",""
"C3,C5,C9","2.2uF","FA14X7R1H225KRU00","http://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA14X7R1H224KNU00","3",""
"D1,D5","1N4001","1N4001","https://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D2,D3","1N4148","1N4148","https://www.mouser.ie/datasheet/3/101/1/1N914-D.PDF","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"IC2","TLV1701AIDBVT","TLV1701AIDBVT","http://www.ti.com/lit/gpn/tlv1701","TLV1701AIDBVT:SOT95P280X145-5N","1",""
"IC3","SN74LVC1G11DCKRE4","SN74LVC1G11DCKRE4","https://www.ti.com/lit/gpn/sn74lvc1g11","SOT65:SOT65P210X110-6N","1",""
"IC4","SN74LVC1G08IDCKRQ1","SN74LVC1G08IDCKRQ1","https://www.arrow.com/en/products/sn74lvc1g08idckrq1/texas-instruments","AND:SOT65P210X110-5N","1",""
"J1,J3,J4","Conn_01x02","1729128,B6B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf,https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mkdsn-15-2-508-1729128?type=pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Phoenix 1x2 Connector:Phoenix_1x2_1729128","3",""
"J2","Conn_01x06","B6B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"K2","G5Q-1A4-DC12","G5Q-1A4-DC12","https://www.omron.com/ecb/products/pdf/en-g5q.pdf","Relay_THT:Relay_SPST_Omron-G5Q-1A","1",""
"K3","67-1-A-12/2D","67-1-A-12/2D","http://www.farnell.com/datasheets/3716009.pdf","Pickering Relay:67-1-A-12_2D","1",""
"PS1","MPF1212S-1W","MPF1212S-1W","http://www.farnell.com/datasheets/3195163.pdf","MPF1212S-1W:MPF1212S-1W","1",""
"Q1,Q3","2N7002","2N7002","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","Package_TO_SOT_SMD:SOT-23","2",""
