"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description","Part Number"
"C1,C2,C3,C5,C6,C7,C8,C10","8","0.1uF","","","","FA14_Capacitor:FA18X7R1H104KNU00","http://www.farnell.com/datasheets/2923220.pdf","Unpolarized capacitor",""
"C4,C9","2","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf","Polarized capacitor","ECE-A1EKA100I"
"C23","1","22uF","","","","RDEC71E:RDEC71E226K3P1H03B","https://www.mouser.ie/datasheet/2/281/RDE_X7R_X7S_25V_100V_E-1671041.pdf","Unpolarized capacitor","RDEC71E226K3P1H03B"
"D1","1","NUP3105L","","","","Package_TO_SOT_SMD:SOT-23","https://docs.rs-online.com/80d9/0900766b8141c03f.pdf","Dual Line CAN Bus Protector, 24Vrwm",""
"J1","1","CAN","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","B3B-XH-A"
"J2","1","12V Power","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","B2B-XH-A"
"J3","1","APPS1","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","B3B-XH-A"
"J4","1","APPS2","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","B3B-XH-A"
"J5","1","Brake_Pressure_Front","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","B3B-XH-A"
"J6","1","Brake_Pressure_Rear","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","B3B-XH-A"
