"Reference","Value","Part number","Datasheet","Footprint","Qty","DNP","Part Number"
"C1,C2,C7,C9,C10,C11,C14","0.1uF","FA18X7R1H104KNU00","https://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","7","",""
"C3,C13","0.22uF","FA14X7R1H224KNU00","https://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA14X7R1H224KNU00","2","",""
"C4","1uF","FA18X7R1E105KRU00","https://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","1","",""
"C5","10uF 400VDC","400BXC10MEFC10X20","http://www.farnell.com/datasheets/2321684.pdf","400BXC10MEFC10X20:CAPPRD500W60D1025H2200","1","",""
"C6","470pF","FA18C0G1H471JNU00","https://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","1","",""
"C12","10uF","ECE-A1EKS100I","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1059.pdf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1","",""
"D3,D5","STTH1R06","STTH1R06","https://www.mouser.ie/datasheet/2/389/stth1r06-1851882.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2","",""
"IC1","MP9488GS-P","MP9488GS-P","https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP9488","MP9488GS-Z:SOIC127P600X175-8N","1","",""
"IC2,IC3,IC4","TLV1701AIDBVT","TLV1701AIDBVT","http://www.ti.com/lit/gpn/tlv1701","TLV1701AIDBVT:SOT95P280X145-5N","3","",""
"J1,J2","Conn_01x02_Phoenix","1729128","https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mkdsn-15-2-508-1729128?type=pdf","Phoenix 1x2 Connector:Phoenix_1x2_1729128","2","",""
"J3","Conn_01x03_Pin","B3B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1","",""
"J4","Conn_01x02_Pin","B2B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1","",""
"L1","1.2mH","7447720122","https://www.we-online.com/components/products/datasheet/7447720122.pdf","Inductor_7447720122:WE-TI_809589","1","",""
"Q1,Q2","2N7000","2N7000","https://www.onsemi.com/download/data-sheet/pdf/nds7002a-d.pdf","Package_TO_SOT_THT:TO-92_Inline","2","",""
"R1,R9,R13","560k","MCF 0.25W 560K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1pxxutc*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3","",""
"R2,R3,R18,R19,R20,R26,R27","1K","MCF 0.25W 1K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1pxxutc*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","7","",""
"R4,R6,R10,R14","18k","MCF 0.25W 18K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1pxxutc*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4","",""
"R5","4.7k","MCF 0.25W 4.7K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1pxxutc*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","",""
"R7,R11,R15","56k","MCF 0.25W 56K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1pxxutc*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3","",""
"R8,R12,R16","10k","MCF 0.25W 10K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1pxxutc*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3","",""
"R17","2.7k","MCF 0.25W 2K7","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*1pxxutc*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","",""
"U1,U2,U3","HCPL-817-000E","HCPL-817-000E","https://www.mouser.ie/datasheet/2/678/AV02_0265EN_2021_04_26-2935641.pdf","Package_DIP:DIP-4_W7.62mm","3","",""
"U4","LM7805_SOT223","LM7805MPX/NOPB","https://www.ti.com/lit/gpn/lm7800","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","",""
